Symbol,eps,high52,low52,pe,beta,marketcap,price,netprofit,sector,index,price_to_high,price_to_low,low_to_high,mean,sd,cv,mth_returns,qtr_returns,hly_returns,yly_returns,pe_sector_max,pe_sector_min,pe_sector_mean
ZEEL,18.73,488.95,199.15,15.46,0.0,278492745749,289.5,18017855364.0,Media & Entertainment,nifty,-0.40791491972594335,0.45367813206126034,0.4073013600572656,371.55266849315063,129.89732441007015,0.3496067594854718,4.25839005317485,5.1455211113142,3.6912440351611533,0.06934940253200111,15.46,12.17,13.815000000000001
SUNTV,35.58,650.7,389.35,12.17,0.0,171051942296,432.8,14061987308.0,Media & Entertainment,niftynext50,-0.334870139849393,0.11159625016052391,0.5983556170278161,529.4429961643835,103.92191574338443,0.196285372544844,2.447718006562755,2.480913759188321,2.287586388970371,1.922140274639318,15.46,12.17,13.815000000000001
VEDL,0.75,11.42,7.04,11.51,1.34,591144759235,8.63,51374110015.0,Metals,nifty,-0.24430823117337996,0.22585227272727285,0.6164623467600701,17.7665602739726,114.36890992584053,6.437313028644438,0.029375764993880074,-0.08387799564270149,-0.17305801376597835,-0.2635726795096322,11.51,6.35,9.623333333333333
TATASTEEL,76.8,561.65,320.35,6.35,0.0,551232979875,487.8,86786988221.0,Metals,nifty,-0.13148758123386445,0.5227095364445138,0.5703730081011307,460.4116057534246,122.26660584551136,0.26555934802171727,0.08959094659908051,0.28499930487974423,-0.08837163428345993,-0.09991235758106937,11.51,6.35,9.623333333333333
HINDALCO,20.71,221.2,171.1,10.6,0.0,493354129562,219.6,46527158576.0,Metals,nifty,-0.007233273056057841,0.28345996493278786,0.773508137432188,206.25591041095888,105.77979908671271,0.5128570564399806,0.08278812279818831,0.12821185107498698,0.029918621349928193,-0.01578225068618476,11.51,6.35,9.623333333333333
JSWSTEEL,27.87,314.0,201.75,9.94,0.0,664435859500,276.9,66875505252.0,Metals,nifty,-0.11815286624203829,0.3724907063197025,0.642515923566879,272.8138035616438,118.00226994718516,0.43253775434615016,0.04126357354392888,0.1356589147286822,-0.04369900271985498,-0.11002362470469126,11.51,6.35,9.623333333333333
HINDZINC,19.08,291.65,193.05,11.24,0.0,905067258804,214.5,80506682042.0,Metals,niftynext50,-0.2645294016800959,0.11111111111111105,0.6619235384879136,239.51452054794518,27.586997264476164,0.11517880920690941,0.0076226774654597155,-0.02354570637119111,-0.13514618687384997,-0.2208509854485172,11.51,6.35,9.623333333333333
NMDC,16.12,131.65,74.8,8.1,0.0,401102219000,130.55,49527137268.0,Metals,niftynext50,-0.008355488036460268,0.7453208556149735,0.5681731864793012,101.48575342465752,9.597946233392546,0.09457432111905255,0.22607833415964315,0.35136612021857927,0.07615317667536989,0.304324894514768,11.51,6.35,9.623333333333333
SAIL,-0.04,32.25,16.63,,0.0,2105379634,23.6,-3568440.058,Metals,niftynext50,-0.26821705426356585,0.41912206855081197,0.5156589147286822,23.571424657534244,4.101701235363011,0.17401159645443684,-0.04829770387965172,0.23408624229979458,0.1996007984031936,0.04795117698343495,11.51,6.35,9.623333333333333
MARUTI,202.63,7758.7,5446.05,36.11,0.0,2214744627841,7316.45,61337630127.0,Automobile,nifty,-0.05700052843904262,0.34344157692272376,0.7019281580677176,6779.838707397259,628.6340457820869,0.09272109159414146,0.03310877192982451,0.08668822061797833,0.13108015704111176,-0.027506572776155782,41.18,11.07,24.713333333333335
HEROMOTOCO,184.14,3117.3,2225.6,13.19,0.0,485401248000,2428.2,36809894493.0,Automobile,nifty,-0.22105668366855943,0.09103163191948235,0.7139511756969171,2646.616712328767,163.64832845516057,0.06183302920019947,-0.029864507335845426,-0.11324038620083182,-0.07506210586661574,-0.23781179138321995,41.18,11.07,24.713333333333335
BAJAJ-AUTO,178.49,3289.0,2442.2,17.49,0.0,903366521250,3121.75,51651122088.0,Automobile,nifty,-0.050851322590453024,0.278253214314962,0.7425357251444208,2913.5225989041096,204.44063686825592,0.07016957306085564,0.013010713780029234,0.08858833474218089,0.10561651127251505,0.1773202662180941,41.18,11.07,24.713333333333335
TATAMOTORS,-87.72,239.35,106.0,,0.0,639479378734,193.85,-289373903031.0,Automobile,nifty,-0.1900981825778149,0.8287735849056603,0.4428660956757886,171.88752904109592,107.00583923208077,0.6225340478685756,0.07741738066095474,0.4683069224353628,0.04791666666666673,0.030134581626682304,41.18,11.07,24.713333333333335
EICHERMOT,770.15,23450.0,15200.0,28.01,0.0,588917015800,21568.45,21028606122.0,Automobile,nifty,-0.08023667377398717,0.41897697368421055,0.6481876332622601,19853.582406849317,2175.1950188392375,0.10956183998756888,-0.027604940870045613,0.24638328724623995,0.12997763091519632,-0.039217810050105266,41.18,11.07,24.713333333333335
M&M,48.7,772.8,502.55,11.07,0.0,642992314375,539.0,58095966067.0,Automobile,nifty,-0.3025362318840579,0.07253009650781014,0.6502976190476191,620.0826715068494,82.96899615577027,0.13380312008098716,-0.023579650946899452,-0.052603134570347765,-0.2031818181818182,-0.33236003554652793,41.18,11.07,24.713333333333335
ASHOKLEY,4.78,102.3,56.95,17.58,0.0,246589600085,84.1,14015437436.0,Automobile,niftynext50,-0.1779081133919844,0.47673397717295857,0.5566959921798632,81.6317808219178,10.362930777847547,0.12694725845139399,-0.005569306930693105,0.11752433936022236,-0.07749712973593571,-0.22666025024061606,41.18,11.07,24.713333333333335
BOSCHLTD,374.77,19739.95,12700.0,41.18,0.0,454391046117,15433.0,11034285774.0,Automobile,niftynext50,-0.21818444322300717,0.2151968503937008,0.6433653580682829,16518.503150684934,1915.6213738104223,0.11596821796356238,-0.07213892127533297,0.10002928801548701,-0.07166906297002955,-0.21137118436180477,41.18,11.07,24.713333333333335
MOTHERSUMI,4.8,175.6,91.1,31.3,0.0,473708654850,150.2,15138492299.0,Automobile,niftynext50,-0.14464692482915723,0.6487376509330406,0.5187927107061503,129.66479452054796,21.557673013504193,0.16625694810388916,0.10534180052297344,0.37756052141526986,0.17420634920634911,-0.09593644974029952,41.18,11.07,24.713333333333335
NSE:MRF,2543.88,67715.95,,26.49,0.0,285589592744,67400.0,10779015626.0,Automobile,niftynext50,-0.004665813593400035,,,1755.8782531506847,3441.6282394281757,1.9600608602860943,-0.010402705660630267,0.05343540581588249,0.04329438802401716,0.06934940253200111,41.18,11.07,24.713333333333335
DRREDDY,164.97,2991.95,1872.95,17.39,0.0,474828558020,2869.0,27303055844.0,Pharmaceuticals,nifty,-0.04109360116312098,0.5318081102004858,0.6259964237370278,2704.617495068493,130.1047859190333,0.0481046899076346,-0.01937050086821647,0.06503588691958397,0.09550445411228513,0.10910269610647137,112.08,10.55,32.795
CIPLA,20.45,586.0,389.55,23.13,0.0,381305305966,472.95,16487352801.0,Pharmaceuticals,nifty,-0.19291808873720137,0.21409318444358869,0.6647610921501707,510.49972602739723,43.25708386511749,0.08473478370250093,-0.022359210113885673,0.06474738279472018,-0.15824037423533635,-0.09031693564067653,112.08,10.55,32.795
SUNPHARMA,18.04,484.25,,24.09,0.0,1044790820097,434.65,43363686632.0,Pharmaceuticals,nifty,-0.10242643262777495,,,431.29137890410954,65.98561818729128,0.15299544905107432,-0.049584026622296225,0.0664675130694548,0.056864438139879,0.03565816511543576,112.08,10.55,32.795
AUROPHARMA,43.91,838.0,389.35,10.55,0.0,270555978000,463.2,25647912336.0,Pharmaceuticals,niftynext50,-0.447255369928401,0.189675099524849,0.464618138424821,634.988493150685,121.08626049432708,0.19069047990700028,0.04400044898417336,-0.22128265237776293,-0.2442512391322012,-0.35274878218510786,112.08,10.55,32.795
BIOCON,7.21,341.23,211.05,41.04,0.0,350142641229,296.0,8528812308.0,Pharmaceuticals,niftynext50,-0.132549893034024,0.40251125325752185,0.6184977874161123,273.99336986301364,34.41763114307856,0.125614832067966,0.08057499527142029,0.30972031178358544,0.1326328310864393,-0.07060354644542068,112.08,10.55,32.795
CADILAHC,13.51,359.75,206.5,19.02,0.0,262534306822,256.95,13803613486.0,Pharmaceuticals,niftynext50,-0.2857539958304378,0.24430992736077475,0.5740097289784573,275.6093150684932,46.069582439551745,0.16715538960685253,0.02365129007036752,0.08381622516556303,0.08945288121489507,-0.2284914555097229,112.08,10.55,32.795
LUPIN,6.92,888.65,646.3,112.08,0.0,351139382416,776.0,3131294493.0,Pharmaceuticals,niftynext50,-0.12676531817926065,0.20068079839084024,0.727282957294773,775.3143835616438,46.70332779071853,0.06023792255236193,-0.025575934505299203,0.07033809689787389,-0.005763128925726778,-0.07861257801248199,112.08,10.55,32.795
PEL,101.14,2721.47,1284.74,15.06,0.0,341923188306,1522.7,22711046999.0,Pharmaceuticals,niftynext50,-0.44048620782150816,0.18522035586967014,0.4720757531775107,2055.3712328767124,339.74960616293,0.16529841457760114,-0.06463241555492473,-0.045725703695123264,-0.16150127226463099,-0.28765672287073063,112.08,10.55,32.795
HDFC,121.28,2472.75,1820.0,20.37,0.0,4264476503367,2469.9,209399453552.0,Financial Services,nifty,-0.0011525629360023897,0.35708791208791213,0.7360226468506723,2091.9141060273973,140.47749653413038,0.06715261211221575,0.05120083309830126,0.18996512598850632,0.07869896255398726,0.25308402513771444,95.2,8.62,39.54461538461539
BAJFINANCE,85.07,4295.75,2355.0,49.88,0.0,2544378236120,4243.8,51003877786.0,Financial Services,nifty,-0.012093348076587282,0.8020382165605097,0.548216260257231,3331.113840273973,550.9357714233321,0.1653908565844809,0.015042639110861598,0.025287129688963354,0.12462827791294945,0.6203162732725714,95.2,8.62,39.54461538461539
BAJAJFINSV,234.83,9530.95,5855.0,40.56,0.0,1511637528000,9525.0,37268014772.0,Financial Services,nifty,-0.0006242819446121035,0.6268146883005978,0.6143144177652804,7580.527266575343,1029.7782834964867,0.1358452053905361,0.020035521252453052,0.08814843836801989,0.09189008396852501,0.44494141216483785,95.2,8.62,39.54461538461539
ABCAPITAL,4.53,114.6,75.5,23.59,0.0,246358356000,106.8,10449469594.0,Financial Services,niftynext50,-0.06806282722513086,0.41456953642384103,0.6588132635253054,92.53767123287672,7.8828239394726465,0.08518502610288341,-0.11259806183664042,0.0719063545150502,0.044541010320478094,-0.009783728115344888,95.2,8.62,39.54461538461539
GICRE,15.72,334.05,156.0,15.62,0.0,431024667750,245.5,27599624346.0,Financial Services,niftynext50,-0.2650800778326598,0.5737179487179487,0.46699595868881905,232.1046575342466,28.701047010231065,0.12365562722926524,-0.08128321196614842,0.0810560444650301,0.023684210526315815,-0.09341619731986787,95.2,8.62,39.54461538461539
HDFCLIFE,6.65,646.4,,95.2,0.0,1279850221353,633.0,13445503905.0,Financial Services,niftynext50,-0.020730198019801947,,,473.1164383561644,87.98427012585859,0.18596747648751868,0.03104082998661304,0.05813154731238198,0.31235356762513306,0.6012214137214136,95.2,8.62,39.54461538461539
ICICIGI,23.82,1440.4,806.95,57.18,0.0,618389960000,1362.0,10815013838.0,Financial Services,niftynext50,-0.05442932518744799,0.6878369167854265,0.5602263260205499,1119.5243835616438,157.20637880701622,0.14042246968027744,0.04554558267190868,0.17092419522326063,0.2772416292873001,0.7017808632659222,95.2,8.62,39.54461538461539
ICICIPRULI,7.97,537.3,277.35,60.97,0.0,697536884072,485.8,11443740152.0,Financial Services,niftynext50,-0.0958496184626837,0.7515774292410311,0.5161920714684535,395.5160273972602,64.97998794774357,0.16429166821722,0.01197183098591547,0.09670737025730476,0.28714011516314775,0.5646290247316845,95.2,8.62,39.54461538461539
L&TFH,9.24,155.9,78.6,13.11,0.0,242063881142,121.15,18461991430.0,Financial Services,niftynext50,-0.22289929441949968,0.541348600508906,0.5041693393200769,118.22945205479452,20.554978226544165,0.17385666489444418,0.12445308701993206,0.24154589371980675,-0.014486578610992661,-0.25072886297376085,95.2,8.62,39.54461538461539
LICHSGFIN,53.03,587.0,,8.62,0.0,230253908841,457.0,26718522507.0,Financial Services,niftynext50,-0.22146507666098808,,,474.707808219178,55.42024875663385,0.11674602312638956,-0.017664601972929544,0.08638843080045672,-0.2424590888987174,-0.11974509199301059,95.2,8.62,39.54461538461539
NIACL,3.67,219.0,,39.52,0.0,239124810058,145.0,6052331399.0,Financial Services,niftynext50,-0.3378995433789954,,,152.9990410958904,29.276696072948948,0.19135215399552807,-0.04127829560585878,0.36234626300851464,-0.031607262945527834,-0.18205055381993757,95.2,8.62,39.54461538461539
SBILIFE,12.24,1030.0,515.55,79.23,0.0,971046770455,969.75,12256367590.0,Financial Services,niftynext50,-0.05849514563106796,0.8810008728542336,0.5005339805825242,747.6960273972602,138.8846296503468,0.18575012379536915,0.03947025392356213,0.18314540059347176,0.35453186574262807,0.7340175698008174,95.2,8.62,39.54461538461539
SRTRANSFIN,113.52,1297.0,,10.23,0.0,263410814700,1161.0,25755724104.0,Financial Services,niftynext50,-0.10485736314572089,,,1104.6097260273973,78.00495228541727,0.07061765838868102,0.042361484669176976,0.0617808219178083,0.10240364101834731,-0.04704725216179654,95.2,8.62,39.54461538461539
BPCL,33.37,549.0,308.35,14.59,0.0,1057724605788,486.85,72499271018.0,Energy - Oil & Gas,nifty,-0.11320582877959923,0.5788876276958002,0.5616575591985429,413.6513709589042,134.3093426862549,0.3246921250977756,-0.007349239907379397,0.04938271604938269,0.3104731525784158,0.34570765661252895,21.78,6.27,12.421666666666667
GAIL,13.28,183.25,110.45,9.29,0.0,557697212413,123.4,60017982017.0,Energy - Oil & Gas,nifty,-0.32660300136425646,0.11724762335898599,0.6027285129604366,165.59968684931508,145.45394103890249,0.8783467155421381,-0.035200000000000044,-0.10100633619083124,-0.22865366165653983,-0.3174872665534805,21.78,6.27,12.421666666666667
ONGC,20.42,178.9,115.55,6.27,0.0,1610906880000,128.1,256789371504.0,Energy - Oil & Gas,nifty,-0.28395751816657355,0.10861099091302465,0.645891559530464,146.15369863013697,15.410974385866083,0.10544361538783756,-0.042994241842610324,-0.052091254752851666,-0.22577639751552792,-0.14972714870395626,21.78,6.27,12.421666666666667
IOC,,21.1,14.7,,0.0,4016901170500,20.3,0.0,Energy - Oil & Gas,nifty,-0.03791469194312799,0.38095238095238104,0.6966824644549762,29.511963287671236,134.83890157570386,4.568957349985369,0.03946053946053942,0.07991696938245973,0.25361445783132514,0.43517241379310334,21.78,6.27,12.421666666666667
RELIANCE,70.42,1617.55,,21.78,0.0,9732250324294,1534.1,446740804274.0,Energy - Oil & Gas,nifty,-0.05159036814936172,,,1320.612255068493,118.61243433783334,0.08981624536846476,0.007146290658548368,0.20041251289102796,0.2384442605508927,0.43069149178312943,21.78,6.27,12.421666666666667
HINDPETRO,35.17,333.5,211.2,7.65,0.0,409755726499,268.9,53592818524.0,Energy - Oil & Gas,niftynext50,-0.19370314842578717,0.2732007575757575,0.6332833583208396,273.27164383561643,27.13052083832715,0.09928040998885057,-0.08102971665514855,-0.1304561059342816,-0.058750663599363026,0.0687160940325497,21.78,6.27,12.421666666666667
OIL,,13.59,9.2,,0.0,32028198722,12.58,0.0,Energy - Oil & Gas,niftynext50,-0.07431935246504781,0.3673913043478262,0.6769683590875644,11.648520547945209,0.7988699205354852,0.06858123460806405,0.05050505050505047,0.07865168539325844,0.05762711864406777,0.28263103802672146,21.78,6.27,12.421666666666667
PETRONET,18.02,299.0,208.05,14.95,0.0,404099721444,269.4,27029981368.0,Energy - Oil & Gas,niftynext50,-0.09899665551839472,0.2948810382119681,0.695819397993311,246.52739726027397,19.155153077901318,0.07769989579567117,0.029956936903201645,0.055854126679462615,0.10862555421201135,0.23562443845462722,21.78,6.27,12.421666666666667
ASIANPAINT,26.94,1834.8,1291.25,66.44,0.0,1718835240750,1789.8,25871841203.0,Consumer Goods,nifty,-0.024525833878351864,0.3860987415295256,0.703755177676041,1529.6964594520548,157.24724009711636,0.10279636794965397,0.056861369350406366,0.01759274897258346,0.3351183661410053,0.32615553925165075,106.49,21.01,58.69923076923077
